"CODIGO_DANE","MUNICIPIO","DEPTO","COD_LOCAL","LOCAL","EST_DIRECCION","NIT","OPERADOR","CONTRATO"
"05001","MEDELLÍN","ANTIOQUIA","37.811","CODERE COLOMBIA S.A.","CR 53 N 13 C SUR 141","860520306","BAR LA RAYA","C1948"
"05001","MEDELLÍN","ANTIOQUIA","37.547","OPERADORES ASOCIADOS S.A.","CR 55 80 B 17","811042793","CASY-NO","C1875"
"05001","MEDELLÍN","ANTIOQUIA","37.359","CODERE COLOMBIA S.A.","CL 9 SUR 52 B 28","860520306","EL MANDARINO","C1948"
"05001","MEDELLÍN","ANTIOQUIA","37.362","INVERSIONES MADISON LTDA.","CL 73 45 17","811042306","SALSAMENTARIA GUIPAL","C1949"
"05001","MEDELLÍN","ANTIOQUIA","37.397","OPERADORES ASOCIADOS S.A.","CL 43 68 A 60","811042793","LA GUACA  2","C1875"
"05001","MEDELLÍN","ANTIOQUIA","37.207","BONAP GAMES SAS","CL 39 A 109 37","800210396","CASINO DORADIL","C2155"
"05001","MEDELLÍN","ANTIOQUIA","38.298","OPERADORES ASOCIADOS S.A.","CL 56 54 18","811042793","OPERADORES ASOCIADOS","C1875"
"05001","MEDELLÍN","ANTIOQUIA","38.068","BINGOS UNIDOS S.A.S.","CL 52 A 50 19","815004809","BINGO NUTIBARA","C1720"
"05001","MEDELLÍN","ANTIOQUIA","38.106","CODERE COLOMBIA S.A.","CL 40 52 A 21","860520306","PUENTE BAR 40","C1948"
"05001","MEDELLÍN","ANTIOQUIA","16.833","INVERSIONES MADISON LTDA.","CL 73 45 17","811042306","BAR MAQUINITAS GIBER","C1949"
"05001","MEDELLÍN","ANTIOQUIA","16.312","HERMANOS SEPULVEDA  BETANCUR & CIA LIMITADA","CR 68 92 F 28","900305862","VIDEO BAR LA 68","C2072"
"05001","MEDELLÍN","ANTIOQUIA","39.803","INV TORRES ALM","DG 50 49 37","900147047","GRAN AVENIDA CASINO","C1996"
"05001","MEDELLÍN","ANTIOQUIA","55.459","ATLANTIS TECHNOLOGY SAS","CR 53 51 26","901586999","CASINO D M","C2031"
"05001","MEDELLÍN","ANTIOQUIA","55.470","DIVERSIONES JROYAL SAS","CR 52   98 A 14","901370270","CASINO GRAN JROYAL","C2121"
"05001","MEDELLÍN","ANTIOQUIA","57.937","JM EGROUP SAS","CL 118   46  3  POPULAR","901709797","CASINO POPULAR","C2019"
"05001","MEDELLÍN","ANTIOQUIA","57.354","EDS INVERSIONES S.A.S.","CL 48 A  87  30","900624957","ENGRANDE 219","C1862"
"05001","MEDELLÍN","ANTIOQUIA","57.327","EDS INVERSIONES S.A.S.","CR 37   71 C 60","900624957","ENGRANDE 195","C1862"
"05001","MEDELLÍN","ANTIOQUIA","57.355","EDS INVERSIONES S.A.S.","CR 87   79  16","900624957","ENGRANDE 141","C1836"
"05001","MEDELLÍN","ANTIOQUIA","57.065","CODERE COLOMBIA S.A.","CR 57 A  45 A 9","860520306","SALON LA RIVIERA","C1948"
"05001","MEDELLÍN","ANTIOQUIA","58.942","PLAY CITY COLOMBIA S.A.S.","CL 49 30 13","901014972","BAR MAQUINAS EL TESORO","C2044"
"05001","MEDELLÍN","ANTIOQUIA","59.721","SERVIMET COLOMBIA S.A.S","CL 66   39  78","901630155","LAS VEGAS VILLA HERMOSA","C1928"
"05001","MEDELLÍN","ANTIOQUIA","59.320","INFRA TECNOLOGIA SAS","CR 49 53 08","901535556","CASINO ARIA NRO 3","C1920"
"05001","MEDELLÍN","ANTIOQUIA","59.355","HERMANOS SEPULVEDA  BETANCUR & CIA LIMITADA","CR 68   95  104","900305862","CASINO BAR COUNTRY","C2072"
"05001","MEDELLÍN","ANTIOQUIA","59.353","HERMANOS SEPULVEDA  BETANCUR & CIA LIMITADA","CR 68   92 F 28","900305862","VIDEO BAR LA 68","C2072"
"05001","MEDELLÍN","ANTIOQUIA","59.391","DIVERSOLUCIONES S.A.S","CRA 32 106 A 19","901172469","SALA DE JUEGOS EL TESORO","C2071"
"05001","MEDELLÍN","ANTIOQUIA","59.196","JM HOLDING INVERSIONES SAS","CR 51   41  251","901281374","CASINO SAO PAULO BOLIVAR","C2160"
"05001","MEDELLÍN","ANTIOQUIA","58.855","INVERSIONES CASH MEDELLIN SAS","CL 40   36  37","901679784","SALA DE JUEGOS DE SUERTE Y AZAR EL SALVADOR","C2034"
"05001","MEDELLÍN","ANTIOQUIA","58.796","ACERTAR EMPRESARIAL S.A.S.","CALLE 56 A 25 100","901008683","CASINO MANCISO","C2029"
"05001","MEDELLÍN","ANTIOQUIA","58.795","ACERTAR EMPRESARIAL S.A.S.","CALLE 47DD No. 86 48","901008683","CASINO MALL LA 47","C1914"
"05001","MEDELLÍN","ANTIOQUIA","59.774","COMERCIALIZADORA ANDRUS S.A.S.","CL 94   67  54 PRIMER PISO","901631916","MINI CASINO BAR PYP","C1899"
"05001","MEDELLÍN","ANTIOQUIA","55.316","GRUPO EMPRESARIAL DMZ SAS","CR 51 N CL 70A-4","901546351","CASINO SAN PEDRO TABARES","C1845"
"05001","MEDELLÍN","ANTIOQUIA","57.019","GRUPO EMPRESARIAL DMZ SAS","CR 49   82  71","901546351","CASINO CAMPO VALDES","C1845"
"05001","MEDELLÍN","ANTIOQUIA","56.015","HERMANOS CHAVERRA SAS","CR 49 52 25","901523665","CASINO RESTAURANTE GOLD PLAY","C1882"
"05001","MEDELLÍN","ANTIOQUIA","56.950","WINNER GROUP S.A.","CL 52   46  34","830037843","CARIBE CASINO LA PLAYA","C2093"
"05001","MEDELLÍN","ANTIOQUIA","56.642","EDS INVERSIONES S.A.S.","CR 85   101  10","900624957","ENGRANDE 127","C1862"
"05001","MEDELLÍN","ANTIOQUIA","56.645","EDS INVERSIONES S.A.S.","CR 76 C  108 A 35","900624957","ENGRANDE 132","C1862"
"05001","MEDELLÍN","ANTIOQUIA","56.659","EDS INVERSIONES S.A.S.","CR 70   98  127","900624957","ENGRANDE 164","C1836"
"05001","MEDELLÍN","ANTIOQUIA","56.633","EDS INVERSIONES S.A.S.","CR 47   95 A 166","900624957","ENGRANDE 160","C1836"
"05001","MEDELLÍN","ANTIOQUIA","56.641","EDS INVERSIONES S.A.S.","CR 86 B  98 B 59","900624957","ENGRANDE 126","C1836"
"05001","MEDELLÍN","ANTIOQUIA","56.162","TERRA TECNOLOGY SAS","CL 39 A  109  37","901535653","CASINO TURPIAL","C1987"
"05001","MEDELLÍN","ANTIOQUIA","54.988","Z GAMER MEDELLIN S.A.S.","CRA 43 A CALLE 30 25 LC 3101","901068479","Z GAMER  MEDELLIN SAS","C1967"
"05001","MEDELLÍN","ANTIOQUIA","57.049","VALAHIA S.A.S.","CL 103 64 AA 6 INT 201","901030377","QUILOMBO","C1890"
"05001","MEDELLÍN","ANTIOQUIA","57.395","Z GAMER MEDELLIN S.A.S.","CRA 43 A CALLE 30 25 LC 3101","901068479","Z GAMER  MEDELLIN SAS","C1967"
"05001","MEDELLÍN","ANTIOQUIA","53.565","WINNER GROUP S.A.","CR 43 A SUR 3  60 LOCAL 101","830037843","HOLLYWOOD CASINO Y CAFE CONCERT MILLA DE ORO","C1817"
"05001","MEDELLÍN","ANTIOQUIA","53.537","WINNER GROUP S.A.","CR 43 A SUR 6  15 LOCAL 2645","830037843","BROADWAY OVIEDO","C1817"
"05001","MEDELLÍN","ANTIOQUIA","53.572","WINNER GROUP S.A.","CL 34   43  79","830037843","RIO CASINO MEDELLIN","C1940"
